c,R (5th July 2020),c/R,R (5th July 2020) (directly proportional to c),Peak date,Peak size,Current,Surge 1 (planned capacity),Surge 2 (planned + Nightingale),Peak date.1,Peak size.1,Current.1,Surge 1 (planned capacity).1,Surge 2 (planned + Nightingale).1
2.18,0.356115,6.121618017,0.354904,2020-07-04,70.1758,2300,2450,2900,2020-07-04,20.0765,275,420,860
2.2,0.359369,6.121841339,0.35816,2020-07-04,70.1758,2300,2450,2900,2020-07-04,20.0765,275,420,860
2.22,0.362623,6.122060653,0.361416,2020-07-04,70.1758,2300,2450,2900,2020-07-04,20.0765,275,420,860
2.24,0.365877,6.122276065,0.364672,2020-07-04,70.1758,2300,2450,2900,2020-07-04,20.0765,275,420,860
2.26,0.369132,6.122471094,0.367928,2020-07-04,70.1758,2300,2450,2900,2020-07-04,20.0765,275,420,860
2.28,0.372386,6.122679155,0.371184,2020-07-04,70.1758,2300,2450,2900,2020-07-04,20.0765,275,420,860
2.3,0.37564,6.122883612,0.37444,2020-07-04,70.1758,2300,2450,2900,2020-07-04,20.0765,275,420,860
2.32,0.378894,6.123084557,0.377696,2020-07-04,70.1758,2300,2450,2900,2020-07-04,20.0765,275,420,860
2.34,0.382148,6.123282079,0.380952,2020-07-04,70.1758,2300,2450,2900,2020-07-04,20.0765,275,420,860
2.36,0.385402,6.123476266,0.384208,2020-07-04,70.1758,2300,2450,2900,2020-07-04,20.0765,275,420,860
2.38,0.388656,6.123667202,0.387464,2020-07-04,70.1758,2300,2450,2900,2020-07-04,20.0765,275,420,860
2.4,0.391911,6.123839341,0.39072,2020-07-04,70.1758,2300,2450,2900,2020-07-04,20.0765,275,420,860
2.42,0.395165,6.124024142,0.393976,2020-07-04,70.1758,2300,2450,2900,2020-07-04,20.0765,275,420,860
2.44,0.398419,6.124205924,0.397232,2020-07-04,70.1758,2300,2450,2900,2020-07-04,20.0765,275,420,860
2.46,0.401673,6.124384761,0.400488,2020-07-04,70.1758,2300,2450,2900,2020-07-04,20.0765,275,420,860
2.48,0.404927,6.124560723,0.403744,2020-07-04,70.1758,2300,2450,2900,2020-07-04,20.0765,275,420,860
2.5,0.408181,6.12473388,0.407,2020-07-04,70.1758,2300,2450,2900,2020-07-04,20.0765,275,420,860
2.52,0.411435,6.124904298,0.410256,2020-07-04,70.1758,2300,2450,2900,2020-07-04,20.0765,275,420,860
2.54,0.41469,6.125057272,0.413512,2020-07-04,70.1758,2300,2450,2900,2020-07-04,20.0765,275,420,860
2.56,0.417944,6.125222518,0.416768,2020-07-04,70.1758,2300,2450,2900,2020-07-04,20.0765,275,420,860
2.58,0.421198,6.125385211,0.420024,2020-07-04,70.1758,2300,2450,2900,2020-07-04,20.0765,275,420,860
2.6,0.424452,6.125545409,0.42328,2020-07-04,70.1758,2300,2450,2900,2020-07-04,20.0765,275,420,860
2.62,0.427706,6.12570317,0.426536,2020-07-04,70.1758,2300,2450,2900,2020-07-04,20.0765,275,420,860
2.64,0.43096,6.125858548,0.429792,2020-07-04,70.1758,2300,2450,2900,2020-07-04,20.0765,275,420,860
2.66,0.434214,6.126011598,0.433048,2020-07-04,70.1758,2300,2450,2900,2020-07-04,20.0765,275,420,860
2.68,0.437468,6.126162371,0.436304,2020-07-04,70.1758,2300,2450,2900,2020-07-04,20.0765,275,420,860
2.7,0.440723,6.126297016,0.43956,2020-07-04,70.1758,2300,2450,2900,2020-07-04,20.0765,275,420,860
2.72,0.443977,6.126443487,0.442816,2020-07-04,70.1758,2300,2450,2900,2020-07-04,20.0765,275,420,860
2.74,0.447231,6.126587826,0.446072,2020-07-04,70.1758,2300,2450,2900,2020-07-04,20.0765,275,420,860
2.76,0.450485,6.12673008,0.449328,2020-07-04,70.1758,2300,2450,2900,2020-07-04,20.0765,275,420,860
2.78,0.453739,6.126870293,0.452584,2020-07-04,70.1758,2300,2450,2900,2020-07-04,20.0765,275,420,860
2.8,0.456993,6.12700851,0.45584,2020-07-04,70.1758,2300,2450,2900,2020-07-04,20.0765,275,420,860
2.82,0.460247,6.127144772,0.459096,2020-07-04,70.1758,2300,2450,2900,2020-07-04,20.0765,275,420,860
2.84,0.463501,6.127279121,0.462352,2020-07-04,70.1758,2300,2450,2900,2020-07-04,20.0765,275,420,860
2.86,0.466755,6.127411597,0.465608,2020-07-04,70.1758,2300,2450,2900,2020-07-04,20.0765,275,420,860
2.88,0.470009,6.127542239,0.468864,2020-07-04,70.1758,2300,2450,2900,2020-07-04,20.0765,275,420,860
2.9,0.473263,6.127671084,0.47212,2020-07-04,70.1758,2300,2450,2900,2020-07-04,20.0765,275,420,860
2.92,0.476518,6.127785309,0.475376,2020-07-04,70.1758,2300,2450,2900,2020-07-04,20.0765,275,420,860
2.94,0.479772,6.127910758,0.478632,2020-07-04,70.1758,2300,2450,2900,2020-07-04,20.0765,275,420,860
2.96,0.483026,6.128034516,0.481888,2020-07-04,70.1758,2300,2450,2900,2020-07-04,20.0765,275,420,860
2.98,0.48628,6.128156618,0.485144,2020-07-04,70.1758,2300,2450,2900,2020-07-04,20.0765,275,420,860
3,0.489534,6.128277096,0.4884,2020-07-04,70.1758,2300,2450,2900,2020-07-04,20.0765,275,420,860
3.02,0.492788,6.128395984,0.491656,2020-07-04,70.1758,2300,2450,2900,2020-07-04,20.0765,275,420,860
3.04,0.496042,6.128513311,0.494912,2020-07-04,70.1758,2300,2450,2900,2020-07-04,20.0765,275,420,860
3.06,0.499296,6.12862911,0.498168,2020-07-04,70.1758,2300,2450,2900,2020-07-04,20.0765,275,420,860
3.08,0.50255,6.128743409,0.501424,2020-07-04,70.1758,2300,2450,2900,2020-07-04,20.0765,275,420,860
3.1,0.505804,6.128856237,0.50468,2020-07-04,70.1758,2300,2450,2900,2020-07-04,20.0765,275,420,860
3.12,0.509058,6.128967623,0.507936,2020-07-04,70.1758,2300,2450,2900,2020-07-04,20.0765,275,420,860
3.14,0.512312,6.129077593,0.511192,2020-07-04,70.1758,2300,2450,2900,2020-07-04,20.0765,275,420,860
3.16,0.515566,6.129186176,0.514448,2020-07-04,70.1758,2300,2450,2900,2020-07-04,20.0765,275,420,860
3.18,0.51882,6.129293397,0.517704,2020-07-04,70.1758,2300,2450,2900,2020-07-04,20.0765,275,420,860
3.2,0.522074,6.129399281,0.52096,2020-07-04,70.1758,2300,2450,2900,2020-07-04,20.0765,275,420,860
3.22,0.525329,6.129492185,0.524216,2020-07-04,70.1758,2300,2450,2900,2020-07-04,20.0765,275,420,860
3.24,0.528583,6.129595541,0.527472,2020-07-04,70.1758,2300,2450,2900,2020-07-04,20.0765,275,420,860
3.26,0.531837,6.129697633,0.530728,2020-07-04,70.1758,2300,2450,2900,2020-07-04,20.0765,275,420,860
3.28,0.535091,6.129798483,0.533984,2020-07-04,70.1758,2300,2450,2900,2020-07-04,20.0765,275,420,860
3.3,0.538345,6.129898114,0.53724,2020-07-04,70.1758,2300,2450,2900,2020-07-04,20.0765,275,420,860
3.32,0.541599,6.129996547,0.540496,2020-07-04,70.1758,2300,2450,2900,2020-07-04,20.0765,275,420,860
3.34,0.544853,6.130093805,0.543752,2020-07-04,70.1758,2300,2450,2900,2020-07-04,20.0765,275,420,860
3.36,0.548107,6.130189908,0.547008,2020-07-04,70.1758,2300,2450,2900,2020-07-04,20.0765,275,420,860
3.38,0.551361,6.130284877,0.550264,2020-07-04,70.1758,2300,2450,2900,2020-07-04,20.0765,275,420,860
3.4,0.554615,6.130378731,0.55352,2020-07-04,70.1758,2300,2450,2900,2020-07-04,20.0765,275,420,860
3.42,0.557869,6.130471491,0.556776,2020-07-04,70.1758,2300,2450,2900,2020-07-04,20.0765,275,420,860
3.44,0.561123,6.130563174,0.560032,2020-07-04,70.1758,2300,2450,2900,2020-07-04,20.0765,275,420,860
3.46,0.564377,6.130653801,0.563288,2020-07-04,70.1758,2300,2450,2900,2020-07-04,20.0765,275,420,860
3.48,0.567631,6.130743388,0.566544,2020-07-04,70.1758,2300,2450,2900,2020-07-04,20.0765,275,420,860
3.5,0.570885,6.130831954,0.5698,2020-07-04,70.1758,2300,2450,2900,2020-07-04,20.0765,275,420,860
3.52,0.574139,6.130919516,0.573056,2020-07-04,70.1758,2300,2450,2900,2020-07-04,20.0765,275,420,860
3.54,0.577393,6.131006091,0.576312,2020-07-04,70.1758,2300,2450,2900,2020-07-04,20.0765,275,420,860
3.56,0.580647,6.131091696,0.579568,2020-07-04,70.1758,2300,2450,2900,2020-07-04,20.0765,275,420,860
3.58,0.583901,6.131176347,0.582824,2020-07-04,70.1758,2300,2450,2900,2020-07-04,20.0765,275,420,860
3.6,0.587155,6.131260059,0.58608,2020-07-04,70.1758,2300,2450,2900,2020-07-04,20.0765,275,420,860
3.62,0.590409,6.131342849,0.589336,2020-07-04,70.1758,2300,2450,2900,2020-07-04,20.0765,275,420,860
3.64,0.593663,6.131424731,0.592592,2020-07-04,70.1758,2300,2450,2900,2020-07-04,20.0765,275,420,860
3.66,0.596917,6.13150572,0.595848,2020-07-04,70.1758,2300,2450,2900,2020-07-04,20.0765,275,420,860
3.68,0.600171,6.131585831,0.599104,2020-07-04,70.1758,2300,2450,2900,2020-07-04,20.0765,275,420,860
3.7,0.603425,6.131665079,0.60236,2020-07-04,70.1758,2300,2450,2900,2020-07-04,20.0765,275,420,860
3.72,0.606679,6.131743476,0.605616,2020-07-04,70.1758,2300,2450,2900,2020-07-04,20.0765,275,420,860
3.74,0.609933,6.131821036,0.608872,2020-07-04,70.1758,2300,2450,2900,2020-07-04,20.0765,275,420,860
3.76,0.613187,6.131897773,0.612128,2020-07-04,70.1758,2300,2450,2900,2020-07-04,20.0765,275,420,860
3.78,0.616441,6.131973701,0.615384,2020-07-04,70.1758,2300,2450,2900,2020-07-04,20.0765,275,420,860
3.8,0.619695,6.13204883,0.61864,2020-07-04,70.1758,2300,2450,2900,2020-07-04,20.0765,275,420,860
